session_id,created_at,sent_from,sent_to,content_type,text
299889,2016-06-08 00:56:13,student,tutor,image,['<url>']
299889,2016-06-08 00:56:14,system info,student,text,"['Do', ""n't "", 'worry', ', ', 'no ', 'minutes ', 'will ', 'be ', 'used ', 'while', '\n', 'Jitendra ', 'reviews ', 'your ', 'problem ', '😃']"
299889,2016-06-08 00:56:22,tutor,student,text,"['Hey ', 'Robert', '! ', 'Welcome ', 'to ', 'Yup', '.', '\n']"
299889,2016-06-08 00:56:29,tutor,student,text,"['I ', 'am ', 'looking ', 'over ', 'your ', 'problem', '.']"
299889,2016-06-08 00:57:04,tutor,student,text,"['\xa0', 'I', ""'ve "", 'reviewed ', 'your ', 'problem ', 'on ', 'finding ', 'the ', 'domain ', 'of ', 'a ', 'square ', 'root ', 'function', '. ', 'Let', ""'s "", 'work ', 'together ', 'and ', 'find ', 'out ', 'exactly ', 'where ', 'you', ""'re "", 'stuck', '.', '\n']"
299889,2016-06-08 00:57:10,tutor,student,text,"['Have ', 'you ', 'tried ', 'any ', 'work ', 'on ', 'it', '?']"
299889,2016-06-08 00:57:38,student,tutor,text,"['I', ""'ve "", 'only ', 'tried ', 'simplifying ', 'it ', 'but ', 'I ', 'was ', 'wrong ', 'with ', 'that']"
299889,2016-06-08 00:58:33,tutor,student,text,"['Okay', '. ', 'Actually', ', ', 'we ', 'need ', 'to ', 'find ', 'the ', 'domain ', 'of ', 'the ', 'square ', 'root ', 'function ', 'so', ', ', 'there ', 'is ', 'not ', 'need ', 'to ', 'simplify ', 'it', '. ', 'However', ', ', 'if ', 'we ', 'simplify ', 'it', ', ', 'that ', 'would', ""n't "", 'be ', 'wrong', '. ']"
299889,2016-06-08 00:58:49,tutor,student,text,"['Can ', 'you ', 'please ', 'show ', 'me ', 'what ', 'you ', 'did ', 'so ', 'that ', 'I ', 'can ', 'check ', 'it ', 'for ', 'you', '?']"
299889,2016-06-08 00:59:51,student,tutor,text,['2x√-x+7']
299889,2016-06-08 01:01:00,tutor,student,text,"['Okay', '. ', 'I ', 'appreciate ', 'your ', 'work ', 'but ', 'this ', 'does', ""n't "", 'seem ', 'to ', 'be ', 'relevant ', 'work', '. ', 'Let', ""'s "", 'discuss ', 'on ', 'the ', 'problem ', 'together ', 'now', '.']"
299889,2016-06-08 01:01:45,tutor,student,text,"['Before ', 'we ', 'move', ', ', 'can ', 'you ', 'tell ', 'me ', 'what ', 'does ', 'it ', 'mean ', 'by ', 'the ', 'word ', '""', 'domain', '"" ', 'for ', 'you', '?']"
299889,2016-06-08 01:02:06,tutor,student,text,"['I ', 'meant ', 'what ', 'you ', 'have ', 'learned ', 'about ', 'domain ', 'so ', 'far', '?']"
299889,2016-06-08 01:02:06,student,tutor,text,['x']
299889,2016-06-08 01:02:52,tutor,student,text,"['That', ""'s "", 'good', '! ', 'All ', 'the ', 'x', '-', 'values ', 'for ', 'which ', 'y ', 'is ', 'defined ', 'are ', 'said ', 'to ', 'be ', 'the ', 'domain ', 'of ', 'the ', 'function', '.']"
299889,2016-06-08 01:03:26,tutor,student,text,"['Now', ', ', 'let ', 'me ', 'explain ', 'the ', 'main ', 'concept ', 'we ', 'use ', 'to ', 'find ', 'the ', 'domain ', 'of ', 'a ', 'square ', 'root ', 'function', '. ']"
299889,2016-06-08 01:04:23,tutor,student,text,"['Since ', 'the ', 'expression ', 'written ', 'inside ', 'a ', 'square ', 'root ', 'never ', 'can ', 'be ', 'lesser ', 'than ', 'zero ', 'so', ', ', 'we ', 'set ', 'that ', 'expression ', 'equal ', 'to ', 'or ', 'greater ', 'than ', 'zero ', 'and ', 'solve ', 'for ', 'x. ']"
299889,2016-06-08 01:04:30,tutor,student,text,"['Let ', 'me ', 'show ', 'you ', 'an ', 'example', '.']"
299889,2016-06-08 01:04:57,system alert,tutor,text,"['The ', 'student ', 'ended ', 'session', '.']"
299890,2016-06-08 01:06:20,student,tutor,image,['<url>']
299890,2016-06-08 01:06:20,system info,student,text,"['Session ', 'started']"
299890,2016-06-08 01:06:26,tutor,student,text,"['Hi ', 'Dee', '! ', 'Welcome ', 'to ', 'Yup', '!']"
299890,2016-06-08 01:06:52,student,tutor,text,"['Hi', ', ', 'sorry ', 'I ', 'could', ""n't "", 'turn ', 'the ', 'picture', '. ', 'I', ""'m "", 'double ', 'checking ', 'my ', 'work ', 'for ', 'a', '-', 'g']"
299890,2016-06-08 01:07:01,tutor,student,text,"['Its ', 'ok', '! ', 'Sure', '!']"
299890,2016-06-08 01:07:07,student,tutor,text,"['Mind ', 'if ', 'I ', 'send ', 'you ', 'what ', 'I ', 'have ', 'so ', 'far', '?']"
299890,2016-06-08 01:07:18,tutor,student,text,"['Yes', '! ', 'That', ""'d "", 'be ', 'great', '!']"
299890,2016-06-08 01:07:33,student,tutor,image,['<url>']
299890,2016-06-08 01:08:04,tutor,student,text,"['Ok', ', ', 'give ', 'me ', 'a ', 'minute ', 'to ', 'review ', 'the ', 'problem', '!']"
299890,2016-06-08 01:08:10,student,tutor,text,"['No ', 'problem']"
299890,2016-06-08 01:08:58,tutor,student,text,"['Part ', 'A ', 'is ', 'correct', '!']"
299890,2016-06-08 01:09:40,student,tutor,text,"['That', ""'s "", 'one ', 'down', '!']"
